estimate,se,ci_lower,ci_upper,covers,r_d,learner,overlap_strength,complexity,seed,elapsed,sample_size
3.840715793587521,0.12343168932364186,3.5987941279622455,4.082637459212796,1,1.0460875369421836,xgboost,0.0,linear,33,0.3864860534667969,985
3.7324885002262063,0.17615601821701213,3.387229048860881,4.077747951591531,1,1.0093859224343498,rf,0.0,linear,33,1.1518149375915527,985
3.926475644217994,0.17040447533619077,3.592489009754616,4.260462278681372,1,1.0024449374101951,lasso,0.0,linear,34,0.1893141269683838,985
3.9602094491524977,0.0957148977511646,3.772611696776281,4.147807201528714,1,1.0560250828515225,xgboost,0.0,linear,34,0.45458006858825684,985
3.9406329922491525,0.1392187117175508,3.6677693313086883,4.213496653189617,1,1.0171891627829033,rf,0.0,linear,34,1.1982700824737549,985
3.9909526665034605,0.1242551998250335,3.7474169499545673,4.234488383052353,1,1.0012371079166036,lasso,0.0,linear,35,0.128889799118042,985
3.881867228215203,0.10668721380783978,3.6727641315409127,4.0909703248894935,1,1.042846315616286,xgboost,0.0,linear,35,0.4156038761138916,985
3.8797911317323295,0.1458834520189934,3.5938648198347254,4.165717443629934,1,1.0192042081452046,rf,0.0,linear,35,1.1393578052520752,985
4.020964839197922,0.07939136684480677,3.8653606194986936,4.176569058897151,1,1.0079026557445203,lasso,0.0,linear,36,0.1315619945526123,985
4.008259136779627,0.08437419748988906,3.842888748474975,4.173629525084279,1,1.030965168308623,xgboost,0.0,linear,36,0.3929882049560547,985
4.007936204609269,0.10776596653792818,3.796718791435781,4.219153617782757,1,1.0045068601702407,rf,0.0,linear,36,1.1088156700134277,985
3.9772428604476575,0.0778861805808929,3.824588751615724,4.12989696927959,1,1.003714565170342,lasso,0.0,linear,37,0.15845608711242676,985
3.954462351278949,0.0979191351075676,3.762544373070805,4.1463803294870925,1,1.0295130282129221,xgboost,0.0,linear,37,0.587169885635376,985
3.936482313064003,0.12712121558834366,3.6873293088398977,4.185635317288108,1,1.0055228971780383,rf,0.0,linear,37,1.2056260108947754,985
