estimate,se,ci_lower,ci_upper,covers,r_d,r_y0,r_y1,r_y_irm_pooled,r_y_combined,r_y0_weighted,r_y1_weighted,r_y0_local,r_y1_local,r_y0_local_05,r_y1_local_05,r_y0_local_08,r_y0_topk,r_y0_local_mse,r_y0_gap,r_y1_gap,r_y0_ifw_mse,n_local_control,n_local_treated,n_local_control_05,n_local_treated_05,r_y0_local_2x,r_y1_local_2x,n_local_control_2x,n_local_treated_2x,thresh_2x_c,thresh_2x_t,propensity_rmse,learner,framework,overlap_strength,complexity,seed,elapsed
3.9277731569577305,0.06796906014610253,3.794556247008333,4.060990066907128,1,1.0329599448152083,0.9479672823118832,0.9523875302445074,0.9495250387372026,0.9560999578754306,0.9473628136255343,0.9534450679072196,,0.956714640239882,0.9422358862619319,0.9530628366638737,,0.9378803605593842,,0.005731396049951321,-0.0006753064193663061,1.1235057098025893,0,52,34,354,0.8596295928183384,0.930267353253019,12,11,0.548268238761975,0.23279098873591988,0.4927279782079899,ridge,IRM,0.0,linear,3,1.26528000831604
3.941808819270679,0.12556066200353255,3.6957144438687486,4.187903194672609,1,1.0471183526793015,0.8660653174745514,0.8344239703826124,0.854914469719057,0.873813456580236,0.8642262262036398,0.8353954003236579,,0.8442975905883439,0.8518625024520661,0.8357810143766927,,0.8394304256403806,,0.014202815022485327,-0.0013570439940803203,2.9333170020285966,2,80,69,329,0.809522942783219,0.7329696496348141,25,23,0.548268238761975,0.23279098873591988,0.49609484377283036,xgboost,IRM,0.0,linear,3,0.6087758541107178
4.025274450689795,0.14487236500257597,3.741329832929605,4.309219068449985,1,1.0166575405405807,0.47693170501972537,0.49639561659131726,0.48457086856238196,0.6409987647675601,0.47216678962158665,0.4942972673861029,,0.5555794067362982,0.3969700517384517,0.49310540969707173,,0.42131580810430447,,0.07996165328127369,0.0032902068942455287,4.924923911611338,1,36,99,323,0.3860736952046996,0.3938315356717955,18,12,0.5837526959022287,0.2595907928388747,0.4963112115026338,lasso_logistic,IRM,0.0,linear,4,1.4961578845977783
4.038243295921328,0.0885115412135379,3.864763862926661,4.211722728915994,1,1.015109166493159,0.780066826306845,0.7995906825945643,0.7877295168516836,0.8521516130819325,0.7792174917729218,0.8006973693175242,,0.6851854598764698,0.7218833319105344,0.7995057209210086,,0.8021718734999121,,0.05818349439631054,8.496167355576123e-05,2.0318656678281157,0,8,19,388,,,0,1,0.5837526959022287,0.2595907928388747,0.4959356695179073,rf,IRM,0.0,linear,4,1.545773983001709
3.983929522037903,0.0701866135306802,3.8463662873209383,4.121492756754868,1,1.0209528782485937,0.8901899261976437,0.885775314939589,0.8884572869358237,0.9223094518163388,0.8892039468562725,0.8794634760929981,,0.7673761216039922,0.8590191644639354,0.8771791579777566,,0.9106873774257147,,0.031170761733708252,0.008596156961832468,1.0341921091883273,0,43,104,328,0.9156392970965479,0.7562872678627921,15,17,0.5837526959022287,0.2595907928388747,0.497361477059457,ridge,IRM,0.0,linear,4,1.4220190048217773
4.097574663768478,0.08210008770665342,3.9366614487358578,4.258487878801099,1,1.0549986728825012,0.8467240975207696,0.8399203609800858,0.8440537783537174,0.8913819906828003,0.842605091846855,0.8399795507205725,,0.8104240395254274,0.7905739039634674,0.8422370618076576,,0.8082653020230243,,0.05615019355730222,-0.0023167008275717382,1.444905307054838,1,58,100,354,0.8173912391189211,0.8228520623003266,31,28,0.5837526959022287,0.2595907928388747,0.505629310759999,xgboost,IRM,0.0,linear,4,0.6009237766265869
4.134233893771366,0.21537652813677174,3.712103655508016,4.556364132034717,1,1.0506445784331602,0.537700773203938,0.5731032175012765,0.5506881873902925,0.631916482835728,0.5328990418307493,0.5711392062454724,,0.5664470907797381,0.017766056568810917,0.5705558331407925,,-0.2926643776160047,,0.5199347166351271,0.002547384360483962,9.471295182241478,0,98,41,332,-0.338217775980318,0.6009844775648387,25,19,0.5176824680210684,0.2115621156211562,0.48865412292448324,lasso_logistic,IRM,0.0,linear,5,1.1121559143066406
4.246398360443594,0.15374056064488442,3.9450723986166247,4.547724322270564,1,1.008356466574508,0.7151871345484395,0.7363744632172613,0.7229597225260751,0.7730441157634392,0.7214821069963593,0.7321177179940739,,0.6887897153529758,,0.7363744632172613,,0.7698723682916173,,,0.0,5.46677653182383,0,44,1,344,,,0,1,0.5176824680210684,0.2115621156211562,0.4787181876313187,rf,IRM,0.0,linear,5,1.5451161861419678
4.10809064076372,0.07396205584512919,3.9631276750847273,4.253053606442713,1,1.0517301835738615,0.947848544551739,0.9455326028555342,0.946998939541773,0.956580672487579,0.9489944744038111,0.9433612567109414,,0.9361641811426278,0.9389477554141915,0.9449706090247784,,0.9268083935811412,,0.008900789137547438,0.0005619938307558359,0.9874259422145997,0,109,32,334,0.9191021109836619,0.8879401634441043,23,17,0.5176824680210684,0.2115621156211562,0.48891142976768287,ridge,IRM,0.0,linear,5,0.8792581558227539
4.026663609024913,0.1307689999164423,3.7703610788943647,4.282966139155461,1,1.027778169195939,0.8207762706242924,0.8294205177005304,0.8239474193779033,0.8557748733449884,0.8260339454655995,0.8256460280241211,,0.8406324437795631,0.8937095484315207,0.8195215294939557,,0.8880094236940583,,-0.07293327780722836,0.009898988206574644,3.49959162954504,1,122,39,317,0.8897764305569159,0.7226822294500075,32,17,0.5176824680210684,0.2115621156211562,0.4833097508650582,xgboost,IRM,0.0,linear,5,0.6000380516052246
4.005179085566739,0.13514412535503495,3.7403014671487043,4.270056703984773,1,1.0394501550333546,0.841914826993498,0.8108519733602438,0.8304730959201421,0.8575134618537835,0.8334799881708996,0.8029712123649565,,0.7203145327850596,0.7533189677675667,0.8131214313207066,,0.6694672477505711,,0.08859585922593127,-0.0022694579604627396,3.4242609696952235,2,87,53,338,0.6699726372305167,0.6243664188876713,31,23,0.5407407407407407,0.22741433021806853,0.4923903595958239,lasso_logistic,IRM,0.0,linear,6,1.5303449630737305
4.048419730028851,0.16465690904190025,3.7256981185010383,4.371141341556663,1,1.0076344211388661,0.6852206341141447,0.6588116946253352,0.6754931317046426,0.7272535558940265,0.684881381998213,0.6536926551170719,,0.4863178243506977,,0.6509073550444859,,0.520346818801589,,,0.00790433958084924,5.989838980623964,0,18,3,363,,,1,0,0.5407407407407407,0.22741433021806853,0.4847943585635866,rf,IRM,0.0,linear,6,1.5320336818695068
3.9958204449014576,0.07386111893214374,3.8510553119366264,4.140585577866289,1,1.0384220153321018,0.9425375702225801,0.9382736253748335,0.9409669833461926,0.9503830366927088,0.9432469492423515,0.9378792382127478,,0.930757821970958,0.9501390877317827,0.938206790350795,,0.9668134780285166,,-0.007601517509202571,6.683502403848074e-05,1.0769907468177695,1,89,51,336,0.9724244810971588,0.9569451587837232,21,18,0.5407407407407407,0.22741433021806853,0.49215016296361364,ridge,IRM,0.0,linear,6,1.493147850036621
4.13263948362763,0.13846953780724547,3.8612441765695213,4.404034790685738,1,1.0359282391308202,0.7955721876240903,0.7861842157163214,0.7921142100937221,0.8252730049291533,0.7956875690876626,0.7915590546196002,,0.8102735631284631,0.7363769414744351,0.7813246299959712,,0.7667813228470064,,0.05919524614965521,0.004859585720350168,3.967750674969066,2,74,51,339,0.749853808273517,0.8223556391641784,28,20,0.5407407407407407,0.22741433021806853,0.4915572479752208,xgboost,IRM,0.0,linear,6,0.6064538955688477
4.029096900119715,0.09164272725201433,3.849480455260739,4.20871334497869,1,1.031139436269245,0.9144507600739485,0.8522260909218695,0.8918717111630113,0.9129029364611563,0.9118310006587178,0.8515640879608513,,0.843542956753213,0.8770987230692211,0.8574865891003679,,0.8485517082907561,,0.037352037004727445,-0.005260498178498385,1.2740300189609965,0,66,54,343,0.8521859719017381,0.8122223397092996,25,20,0.5461254612546126,0.23125,0.4917713571037342,lasso_logistic,IRM,0.0,linear,7,1.3324520587921143
3.8325162763011837,0.1352926486531147,3.567347557568048,4.09768499503432,1,1.0045787972428828,0.7113934400762368,0.6667648322742356,0.6951993560880096,0.7544838512194991,0.7082343233849533,0.668342534260896,,0.8180596474630724,0.5742807575395382,0.6659223968367345,,0.6270281709899652,,0.13711268253669862,0.0008424354375010656,4.256461447458073,0,16,10,367,,,3,0,0.5461254612546126,0.23125,0.48539523669502016,rf,IRM,0.0,linear,7,1.570068120956421
3.9962845068821515,0.07387022834207736,3.85150151980193,4.141067493962373,1,1.0316182758813666,0.9252630273701133,0.9147086453824117,0.9214332294720706,0.9367146647901824,0.9231212281589184,0.917157336640178,,0.8924151146791811,0.9058281980495426,0.9174928953833327,,0.8685329717611264,,0.019434829320570723,-0.0027842500009209736,1.0827574624020537,1,72,55,345,0.8839118821355028,0.9427976457529201,25,20,0.5461254612546126,0.23125,0.4918838370013244,ridge,IRM,0.0,linear,7,1.4074490070343018
3.9563654451870893,0.11695415559530259,3.727139512378003,4.185591377996176,1,1.0394258671032004,0.8383136017092123,0.7925174639973311,0.8216958639627668,0.8563764687973026,0.8327794326232083,0.7960344793592379,,0.791170812495883,0.8029518407242624,0.8011973432289174,,0.7777048342269952,,0.03536176098494992,-0.008679879231586307,2.597453644035977,2,76,71,338,0.7745100983759847,0.8271971541277369,34,19,0.5461254612546126,0.23125,0.4937463945866588,xgboost,IRM,0.0,linear,7,0.5956060886383057
