estimate,se,ci_lower,ci_upper,covers,r_d,r_y0,r_y1,r_y_irm_pooled,r_y_combined,r_y0_weighted,r_y1_weighted,r_y0_local,r_y1_local,r_y0_local_05,r_y0_local_08,r_y0_topk,r_y0_local_mse,r_y0_gap,r_y0_ifw_mse,n_local_control,n_local_treated,propensity_rmse,learner,framework,overlap_strength,complexity,seed,elapsed
3.8858331974855385,0.0710133964991702,3.7466494979273017,4.025016897043775,1,1.0455643219007924,0.9467830334086538,0.9456420717303836,0.9463521321453884,0.9533654149920452,0.9463860086726252,0.9481591351562028,,0.9626098267865794,0.9407989208083152,,0.9349408295748518,,0.005984112600338598,1.1408159766818105,0,59,0.4957264233460026,ridge,IRM,0.0,linear,3,1.1463539600372314
3.867129728621197,0.1459666564690028,3.5810403389982204,4.153219118244173,1,1.009487546379268,0.7604627522500945,0.7418797578952327,0.7534446061587152,0.7859692775831524,0.7570681978850127,0.7398086187283175,,0.7580471575511394,0.1807516109806634,,0.7072621733608276,,0.5797111412694311,5.257460082270102,0,8,0.4870975870349719,rf,IRM,0.0,linear,3,1.558837890625
4.025701735294414,0.1451725636200035,3.741168739055858,4.310234731532971,1,1.02115024401566,0.4812496250915602,0.49191102515591,0.4856440701942262,0.6415999394718248,0.4747081460086113,0.4928082794041726,,0.4751861590232026,0.3953176218214187,,0.4456943506431962,,0.0859320032701415,5.0073563557489855,0,36,0.4974063183276222,lasso_logistic,IRM,0.0,linear,4,1.4146440029144287
4.087372898702023,0.0796104621743527,3.9313392600477033,4.243406537356343,1,1.030748830108558,0.8419939905173107,0.8396755072179429,0.8410383517157439,0.8893135372586453,0.8422938404396271,0.8395869598628548,,0.8400034798170124,0.836261601589392,,0.8715011328665228,,0.005732388927918719,1.4519827304471795,2,45,0.4997426444429234,xgboost,IRM,0.0,linear,4,0.5854818820953369
4.0225923083348,0.0690738147706942,3.8872101191094486,4.157974497560151,1,1.043754951929669,0.8909678747558397,0.8866195762512868,0.8891755811590393,0.9228694278758148,0.8898441923056214,0.886108931381584,,0.8952042609963743,0.8795467339530042,,0.9001003094281352,,0.011421140802835517,1.0402047553299498,0,47,0.5028834688451427,ridge,IRM,0.0,linear,4,1.966336965560913
4.109436998485483,0.0877340488428475,3.937481422535624,4.281392574435342,1,1.012449733379564,0.7799978626229754,0.7946154936817208,0.7860229978614024,0.8507623897164873,0.7786991367979453,0.7965059428707021,,,0.7569119024589014,,0.754770273458793,,0.02308596016407405,2.043918218639052,0,3,0.4952846584316165,rf,IRM,0.0,linear,4,1.5200231075286863
4.13413114143994,0.209989291781324,3.722559692409472,4.545702590470408,1,1.0343010693323484,0.5390833229768665,0.5774571984596252,0.5524849607089162,0.6339420945238502,0.5347180415800157,0.5756301738396655,,0.6023663816809502,-0.1309171915954972,,-0.0581880921206652,,0.6700005145723636,9.165639630650954,0,91,0.4848387670381309,lasso_logistic,IRM,0.0,linear,5,0.9396440982818604
4.0296850630328205,0.1327294157726509,3.769540188429382,4.289829937636259,1,1.017781927176499,0.8321310920891548,0.8335853599995703,0.8326389785472086,0.8629161219125725,0.8358035507894408,0.8239133689732991,,0.8045630254591131,0.8422547037680166,,0.8508648894039772,,-0.010123611678861777,3.3180646892912806,1,103,0.4809514941280812,xgboost,IRM,0.0,linear,5,0.5871047973632812
4.088014213943355,0.0708517256314813,3.9491473834631377,4.226881044423572,1,1.0275906547334437,0.950301610461495,0.9471779367092634,0.949210703080005,0.9583475160324028,0.9516756132613372,0.945699542352354,,0.9227080057467058,0.9570307529346764,,0.9589714731919136,,-0.00672914247318146,0.932829503382112,0,85,0.4832638626263277,ridge,IRM,0.0,linear,5,1.2008700370788574
4.287176660121271,0.1536840898372217,3.9859613790434985,4.588391941199044,1,1.0061176740787408,0.7224805913840149,0.7272762569945834,0.7241554228256754,0.774092845635799,0.7268795037273974,0.7203010189102808,,0.6440632183432649,,,0.8012787480960675,,,5.390341682954052,0,36,0.4781883974645228,rf,IRM,0.0,linear,5,1.5084857940673828
4.011959898366217,0.1346116788498515,3.748125855922036,4.275793940810398,1,1.0094310747265445,0.8349437909921142,0.7958927190071614,0.8204730891905835,0.8491812750882902,0.8263088964473978,0.7903714468618837,,0.7056672002007935,0.7106308237293586,,0.6713794058466579,,0.12431296726275565,3.6715403321229534,1,74,0.4852277136188987,lasso_logistic,IRM,0.0,linear,6,1.4206688404083252
4.186657927794042,0.1465627278271792,3.899400259776824,4.47391559581126,1,1.0514834531100468,0.7884564451192644,0.7730396354745689,0.7827436171798595,0.8174257958319401,0.7902987036237731,0.7736570646895542,,0.7510247717004083,0.7817938295021667,,0.8085267199798165,,0.006662615617097689,3.960946412790867,2,87,0.4952345222456447,xgboost,IRM,0.0,linear,6,0.5827178955078125
4.023199875006814,0.0723032227601705,3.8814881624307023,4.164911587582925,1,1.0097100706089612,0.9411293347156808,0.9350802200487428,0.9388877846106736,0.9486467525741232,0.9421699894821124,0.9347022221870618,,0.9185167236122702,0.9599970775192976,,0.9711637921266204,,-0.018867742803616805,1.097567861649041,0,68,0.4852952759928927,ridge,IRM,0.0,linear,6,1.5492041110992432
3.998603282685839,0.1630672797619938,3.678997287295414,4.318209278076264,1,1.0057991359510536,0.6801975878695039,0.654782809388333,0.6707799288384102,0.7233394913226112,0.6803467993869234,0.6508723157927179,,0.6255839424143197,,,0.563674955758596,,,6.023208479141719,0,14,0.4843526845635644,rf,IRM,0.0,linear,6,1.5012311935424805
4.036681024834816,0.0919198723894202,3.8565213854880342,4.216840664181597,1,1.0405341336444622,0.9151656254893108,0.8583675939268116,0.893830324293245,0.9150648860831372,0.912319790011854,0.856582966382958,,0.8491448697954254,0.8764747514547281,,0.8837776987155018,,0.03869087403458271,1.276348702836441,2,70,0.4940173435718691,lasso_logistic,IRM,0.0,linear,7,1.5020296573638916
3.986045578976184,0.1123767138048915,3.7657912672176312,4.206299890734737,1,1.0246477818802493,0.8332414683324433,0.7947090645770536,0.8187673674294035,0.8544139620903557,0.8284600785901153,0.7976896353732403,,0.8122024422972501,0.8251329172756511,,0.778466985894987,,0.008108551056792201,2.617825630319603,2,70,0.4902187065761857,xgboost,IRM,0.0,linear,7,0.5824031829833984
4.034759477522562,0.0751512134203975,3.887465805824099,4.182053149221025,1,1.0284703055035922,0.9231569809281748,0.9139972467582068,0.9197162686003696,0.9354258849981334,0.9213985398644772,0.9165393794048045,,0.922794905457429,0.9017988030927576,,0.9118711956608548,,0.021358177835417158,1.1221218934385584,0,74,0.4911324373530025,ridge,IRM,0.0,linear,7,1.3399229049682615
3.893137242697677,0.1349711484994031,3.628598652686839,4.157675832708514,1,1.0050132305206192,0.7179680218504969,0.6778812197141715,0.7029100352612173,0.7611071640500664,0.7148816891402017,0.6784119632777574,,0.7232749433463125,-0.0231178480909082,,0.5795743575375798,,0.7410858699414051,4.142703071409095,0,14,0.4854989012361624,rf,IRM,0.0,linear,7,1.527700901031494
4.015991990833999,0.0898197638487577,3.839948488590542,4.192035493077457,1,1.027469714247751,0.9191667341388164,0.9260884639417892,0.9216192049014942,0.9315746992919324,0.9193763825311384,0.9275930299302844,,0.9290144418065304,0.902372366475537,,0.8995418293056926,,0.016794367663279464,1.697682726064807,0,107,0.4848311729008969,lasso_logistic,IRM,0.0,linear,8,0.9324438571929932
