estimate,se,covers,bias,r_d,r_d_star,inflation,var_D,var_V,var_delta,var_D_tilde,cov_V_delta,decomp_check,learner,overlap_strength,complexity,seed,elapsed
3.994035802119299,0.07539417084170773,1,-0.0059641978807007945,1.0004053940391984,1.0000000000000002,0.0001948449819583721,0.2347847148857224,0.23478471488572245,4.5746623536010116e-05,0.23487989520963193,2.4741968936963737e-05,0.2348799454471324,lasso,0.0,linear,39,0.12812519073486328
3.8703868277472777,0.13901549986177844,1,-0.1296131722527223,1.0482540663685007,1.0000000000000002,0.045896498060013016,0.2347847148857224,0.23478471488572245,0.010775796211273267,0.24611403210012756,0.00027704176223827565,0.24611459462147228,xgboost,0.0,linear,39,0.39170098304748535
4.059955072263249,0.10375466922020568,1,0.05995507226324914,1.0039237202097024,1.0000000000000002,0.00043596891218918764,0.2355268107913113,0.23552681079131133,0.00010268236749207661,0.23645095209873995,0.00041114687796624174,0.2364517869147359,lasso,0.0,linear,40,0.1397700309753418
4.103694680335819,0.0793330925852438,1,0.10369468033581875,1.0458753784410528,1.0000000000000002,0.04083095648572809,0.2355268107913113,0.23552681079131133,0.009616784962642346,0.24633169236937696,0.0005946520153414787,0.24633289978463663,xgboost,0.0,linear,40,0.4101998805999756
4.273395273538818,0.15445174166828904,1,0.2733952735388181,1.0013198530046064,1.0000000000000002,0.00014665033384517157,0.23895900435466005,0.23895900435466008,3.50434177639207e-05,0.2392743951145353,0.00014031612397342246,0.23927468002037083,lasso,0.0,linear,41,0.12014508247375488
3.962171781439062,0.10015651345859582,1,-0.03782821856093799,1.0390784944818758,1.0000000000000002,0.04256780307127438,0.23895900435466005,0.23895900435466008,0.010171959839476965,0.24829716248772818,-0.0004173245329332504,0.24829631512827055,xgboost,0.0,linear,41,0.397752046585083
4.189108648355123,0.07663032705464072,0,0.18910864835512342,1.001692167026259,1.0000000000000002,0.00018801855847322372,0.23503414156510086,0.2350341415651009,4.419078048906186e-05,0.2354318585895024,0.0001769427592753087,0.2354322178641406,lasso,0.0,linear,42,0.12361025810241699
4.111623835504479,0.10262714775955542,1,0.11162383550447874,1.0362463741675019,1.0000000000000002,0.03671221929473922,0.23503414156510086,0.2350341415651009,0.008628624946888765,0.2435532770024071,-5.480038970468996e-05,0.2435531657325803,xgboost,0.0,linear,42,0.505511999130249
4.267019012993142,0.18281636109111318,1,0.267019012993142,1.0055848891325094,1.0,0.0009109450058009699,0.2345332268288283,0.2345332268288283,0.00021364687167410717,0.235843068898557,0.0005486546087823764,0.23584418291806716,lasso,0.0,linear,43,0.11829400062561035
3.9391262960281552,0.10927395877968148,1,-0.06087370397184477,1.0600189844220353,1.0,0.03690763209754916,0.2345332268288283,0.2345332268288283,0.00865606605044944,0.24860967291631741,0.002712944276668699,0.24861518143261513,xgboost,0.0,linear,43,0.40058207511901855
4.110068069989602,0.11978118497601001,1,0.11006806998960172,1.0103208656271525,1.0,0.005881241818103932,0.23079594939318201,0.23079594939318201,0.001357366789020181,0.23317796337416014,0.0005128442500399486,0.2331790046822821,lasso,0.0,linear,44,0.11840677261352539
3.9707976745542966,0.0745455522902607,1,-0.029202325445703448,1.038255132922401,1.0,0.0397032176986674,0.23079594939318201,0.23079594939318201,0.00916334182272813,0.23962507911516995,-0.00016727587359202038,0.2396247394687261,xgboost,0.0,linear,44,0.39668703079223633
3.914625682451615,0.07671333203347137,1,-0.0853743175483852,1.0055080912090977,1.0000000000000002,0.0020292720817200313,0.2385281764539153,0.23852817645391533,0.0004840385691815197,0.23984201140576322,0.0004153198358366054,0.23984285469477007,lasso,0.0,linear,45,0.12247180938720703
3.9334688749606244,0.08230491425951905,1,-0.06653112503937564,1.0406854644868864,1.0000000000000002,0.046008781097160986,0.2385281764539153,0.23852817645391533,0.010974390655973179,0.24823280610615284,-0.0006355257056298976,0.2482315156986287,xgboost,0.0,linear,45,0.43935322761535645
3.837068838817694,0.15777668591244356,1,-0.1629311611823061,1.0062796317229667,1.0000000000000002,0.0022652203900561277,0.23402406658249375,0.23402406658249378,0.0005301160873865177,0.23549365153494284,0.00047021180492207377,0.23549460627972443,lasso,0.0,linear,46,0.12013006210327148
3.9773083159062055,0.08583961366410867,1,-0.022691684093794517,1.0521732606292287,1.0000000000000002,0.03455473092996212,0.23402406658249375,0.23402406658249378,0.008086638651893612,0.24623386520181414,0.002063675085322871,0.24623805540503313,xgboost,0.0,linear,46,0.42328500747680664
4.042002955825674,0.08120936525342796,1,0.042002955825673816,1.0095466834021358,1.0000000000000004,0.00487103131643414,0.23979592362596297,0.23979592362596308,0.0011680534535353148,0.24208517938994278,0.0005611708718433845,0.24208631882318518,lasso,0.0,linear,47,0.12166476249694824
4.017556911641716,0.08753902916270306,1,0.0175569116417158,1.0520829641714922,1.0000000000000004,0.03888370681562905,0.23979592362596297,0.23979592362596308,0.009324154389854919,0.2522852061246439,0.001584172351216248,0.2522884227182505,xgboost,0.0,linear,47,0.4088099002838135
3.9796137962901135,0.18792694240527416,1,-0.02038620370988653,1.0032454824897976,1.0000000000000002,0.0005682999707438413,0.22757607771393232,0.22757607771393237,0.0001293314783068259,0.22831467188924973,0.00030494093320904424,0.22831529105865728,lasso,0.0,linear,48,0.11949682235717773
3.955339856369221,0.10083859182815172,1,-0.04466014363077919,1.0481320789887596,1.0000000000000002,0.03498789133929052,0.22757607771393232,0.22757607771393237,0.007962407078476999,0.23852978746241138,0.0014971713058699384,0.23853282740414924,xgboost,0.0,linear,48,0.4127659797668457
4.46158276759534,0.20734928836440808,0,0.4615827675953401,1.0020076443639467,1.0000000000000004,0.00022307159599403365,0.2321770723285835,0.23217707232858362,5.1792110077559306e-05,0.23264320131928162,0.00020737897734307296,0.23264362239334732,lasso,0.0,linear,49,0.11755895614624023
4.237649270491764,0.133535345954783,1,0.23764927049176432,1.0264560725629024,1.0000000000000004,0.037075882474281195,0.2321770723285835,0.23217707232858362,0.008608169846877246,0.23831956580155075,-0.001234091071291358,0.23831706003287814,xgboost,0.0,linear,49,0.46082305908203125
3.8082170293480813,0.14608416046179268,1,-0.19178297065191874,1.004507408716831,1.0000000000000002,0.002446710852259098,0.2305135406735551,0.23051354067355512,0.0005639999815586562,0.23155255941613467,0.0002377507518321232,0.231553042158778,lasso,0.0,linear,50,0.15080595016479492
3.8908026152794726,0.11230226895025748,1,-0.10919738472052742,1.0472137169294256,1.0000000000000002,0.0344054916490232,0.2305135406735551,0.23051354067355512,0.00793093169863077,0.24139694173131593,0.0014777349180605235,0.24139994220830693,xgboost,0.0,linear,50,0.40858912467956543
4.060146118010033,0.23062554067466734,1,0.060146118010033334,1.0030671251074468,1.0,0.00034079167860522823,0.23741503259553198,0.23741503259553198,8.090906748434632e-05,0.23814321420289106,0.0003239651685856958,0.23814387200018772,lasso,0.0,nonlinear,1,0.12007999420166016
