estimate,se,ci_lower,ci_upper,covers,r_d,learner,overlap_strength,complexity,seed,elapsed,sample_size
3.9222828248199235,0.32885754109413423,3.27773388823102,4.566831761408827,1,0.9961376456466515,lasso,0.0,linear,56,0.11297607421875,500
3.842244706430987,0.14272699757706478,3.5625049315584043,4.12198448130357,1,1.0695203160306306,xgboost,0.0,linear,56,0.3938581943511963,500
3.989536826204917,0.11160267218453795,3.7707996081447925,4.208274044265042,1,1.0030792442219587,lasso,0.0,linear,57,0.12420773506164551,500
3.8877548129610586,0.14002908416468657,3.613302851210145,4.162206774711972,1,1.064370622162403,xgboost,0.0,linear,57,0.3907797336578369,500
3.709278846776874,0.30027485912295526,3.1207509374330424,4.297806756120705,1,1.0238121095361428,lasso,0.0,linear,58,0.11721301078796387,500
4.1419375624526955,0.23369274352251282,3.6839082017002145,4.5999669232051765,1,1.0692051974506669,xgboost,0.0,linear,58,0.3914909362792969,500
4.217794772492123,0.17831137748683923,3.868310894584192,4.567278650400055,1,1.0035307297261007,lasso,0.0,linear,59,0.12043595314025879,500
4.101202757695593,0.1401692394212259,3.8264760966896185,4.375929418701568,1,1.0862835270800566,xgboost,0.0,linear,59,0.3862771987915039,500
3.7360066889010954,0.13440793302919574,3.4725719809274,3.999441396874791,0,1.0024572612823335,lasso,0.0,linear,60,0.11908197402954102,500
3.5836674913972866,0.1159893661240592,3.3563325112045006,3.8110024715900725,0,1.0911663613170823,xgboost,0.0,linear,60,0.40158605575561523,500
4.041651753504927,0.2449314957151095,3.561594843223786,4.521708663786067,1,1.0201868735413797,lasso,0.0,linear,61,0.11568713188171387,500
4.02505657450426,0.14052253203399426,3.749637472701256,4.300475676307265,1,1.107023936950772,xgboost,0.0,linear,61,0.4057321548461914,500
4.135712805865946,0.24434157256735414,3.656812123708052,4.61461348802384,1,1.0178169214061084,lasso,0.0,linear,62,0.11652731895446777,500
4.052613745770808,0.1343528875434389,3.7892869249667074,4.315940566574908,1,1.0838040692110797,xgboost,0.0,linear,62,0.3884599208831787,500
4.118477882005231,0.11011863184914475,3.9026493295540816,4.334306434456381,1,1.0028836005427955,lasso,0.0,linear,63,0.1265859603881836,500
4.001453024635884,0.13461696469968418,3.7376086221164035,4.265297427155365,1,1.1145417226071035,xgboost,0.0,linear,63,0.4034280776977539,500
3.9195894900622563,0.2792423546172491,3.3722845320542865,4.466894448070226,1,1.0392163812422417,lasso,0.0,linear,64,0.11949896812438965,500
4.006014757399284,0.1952888930454696,3.6232555604494685,4.3887739543491,1,1.0735759478671296,xgboost,0.0,linear,64,0.3911299705505371,500
3.979347275339767,0.2053791953247705,3.5768114493293997,4.381883101350135,1,1.0208967258127482,lasso,0.0,linear,65,0.11479306221008301,500
3.898200499662646,0.12141244926342792,3.6602364718315306,4.1361645274937615,1,1.0396746198553803,xgboost,0.0,linear,65,0.39530491828918457,500
3.8276749299008364,0.19598601487471115,3.4435493992728707,4.211800460528802,1,1.0022536983768233,lasso,0.0,linear,66,0.11591506004333496,500
3.823049236250256,0.1194551432515336,3.5889214577091777,4.057177014791335,1,1.0566161694688017,xgboost,0.0,linear,66,0.3940119743347168,500
3.7263760674331716,0.19701834047780656,3.3402272158028206,4.112524919063523,1,1.0036424352771722,lasso,0.0,linear,67,0.11876583099365234,500
