rep,seed,learner,r_d,r_d_oracle,inflation,coverage,estimate,se
12,1012,lasso,0.6478393968151425,0.12435219512929606,0.5234872016858464,0,3.326568923716833,0.14300449929209824
12,1012,lasso_logistic,0.1887094796182797,0.12435219512929606,0.06435728448898363,1,4.475693998364783,0.3023586581558471
13,1013,xgboost,0.17292711839287678,0.15743920447190737,0.015487913920969404,0,5.251379956245195,0.28648940485287344
13,1013,lasso,0.6632613284260701,0.15743920447190737,0.5058221239541627,0,3.163820528089729,0.2278450915064924
13,1013,lasso_logistic,0.2144513936456115,0.15743920447190737,0.057012189173704125,0,5.537024584291157,0.31413281246468744
14,1014,xgboost,0.1215716839513281,0.11420418992587655,0.007367494025451546,1,3.747130901072989,0.2669771822903513
14,1014,lasso,0.6511263196268803,0.11420418992587655,0.5369221297010037,0,3.6435187968946137,0.09888342024516061
14,1014,lasso_logistic,0.17792278251683882,0.11420418992587655,0.06371859259096227,1,4.372835434314761,0.253619720067615
15,1015,xgboost,0.16185546583047924,0.1380065278999062,0.02384893793057305,0,4.890816581823864,0.39037804996892456
15,1015,lasso,0.6511603904531387,0.1380065278999062,0.5131538625532325,0,5.328994234316639,0.266208387865478
15,1015,lasso_logistic,0.19589264750245747,0.1380065278999062,0.05788611960255127,0,6.116455822525811,0.5122034013255032
16,1016,xgboost,0.13119959604847156,0.12887416341749336,0.0023254326309782025,0,4.6613437781306555,0.17337980455604904
16,1016,lasso,0.6546253514080831,0.12887416341749336,0.5257511879905897,0,3.486773089012494,0.10834695650656963
16,1016,lasso_logistic,0.18458216306508748,0.12887416341749336,0.055707999647594125,0,4.864043992794945,0.21866794113288643
17,1017,xgboost,0.14972529283591715,0.14332282607038063,0.006402466765536519,1,4.656527593591216,0.46643451997770097
17,1017,lasso,0.657828002722132,0.14332282607038063,0.5145051766517514,0,1.7410881669810734,0.35490294884044504
17,1017,lasso_logistic,0.1890292572457289,0.14332282607038063,0.045706431175348256,1,4.928195128001916,0.4887515693258662
18,1018,xgboost,0.14739341745201975,0.131175318001058,0.016218099450961754,0,3.5187600598822613,0.2428093829322744
18,1018,lasso,0.6541513553933881,0.131175318001058,0.5229760373923301,1,3.9670312150475877,0.10164890131525961
18,1018,lasso_logistic,0.19551398399000838,0.131175318001058,0.06433866598895038,1,4.504605965066032,0.2942618880125968
19,1019,xgboost,0.12824789444560106,0.12292579132482506,0.005322103120775995,1,3.7799803906507154,0.41793361324570893
19,1019,lasso,0.6526774435580447,0.12292579132482506,0.5297516522332196,0,3.5398683765050074,0.14588546899444285
19,1019,lasso_logistic,0.18893412842882656,0.12292579132482506,0.0660083371040015,1,4.39043505834569,0.32829740858408885
20,1020,xgboost,0.17292505148402995,0.16120687860694147,0.011718172877088484,1,3.624059543540639,0.21994586768549995
20,1020,lasso,0.6681756914688354,0.16120687860694147,0.5069688128618939,0,3.647247920363188,0.1169754807644481
20,1020,lasso_logistic,0.20615406942321135,0.16120687860694147,0.04494719081626988,0,4.808112207685881,0.2615002609024785
21,1021,xgboost,0.14204406413331896,0.14037909856131034,0.0016649655720086254,0,5.173350038171588,0.2773586855745714
21,1021,lasso,0.6470304397815378,0.14037909856131034,0.5066513412202275,0,2.8328753146972265,0.23617546399244327
21,1021,lasso_logistic,0.19506959139107682,0.14037909856131034,0.054690492829766485,0,5.675061722031264,0.3100569852909811
22,1022,xgboost,0.12366351222641185,0.1161607047575134,0.007502807468898448,1,4.119654686446073,0.21257445960338422
22,1022,lasso,0.6499481797068973,0.1161607047575134,0.5337874749493839,0,2.588611396066111,0.09601896943454057
22,1022,lasso_logistic,0.17352797433288072,0.1161607047575134,0.05736726957536732,0,4.4388457975873905,0.219816564799943
23,1023,xgboost,0.15637631547149625,0.15432223483034416,0.0020540806411520895,0,3.4572041404173035,0.23691100831805098
23,1023,lasso,0.6586191896641517,0.15432223483034416,0.5042969548338075,0,3.267679368210047,0.1134688079113673
23,1023,lasso_logistic,0.20499356831789708,0.15432223483034416,0.05067133348755293,1,4.22046634878611,0.2558425743173352
24,1024,xgboost,0.1580978064021828,0.13443123916999464,0.023666567232188157,1,3.679543905329691,0.21945661777645195
24,1024,lasso,0.6547088562763009,0.13443123916999464,0.5202776171063063,1,3.8481181941786153,0.1055185240916958
24,1024,lasso_logistic,0.18861835705409172,0.13443123916999464,0.05418711788409708,0,4.751186195083605,0.25041729797375706
25,1025,xgboost,0.15973571378099843,0.13686406468977227,0.02287164909122616,1,3.6967444665482576,0.3545703070933608
25,1025,lasso,0.6525064055451876,0.13686406468977227,0.5156423408554153,0,3.431358680237791,0.19422467315932576
25,1025,lasso_logistic,0.17910573131587892,0.13686406468977227,0.04224166662610665,0,4.926689521144974,0.43426711184254496
26,1026,xgboost,0.15034688956064152,0.14034847906974696,0.00999841049089456,1,4.309496796952304,0.27598726505476745
26,1026,lasso,0.6623984473916144,0.14034847906974696,0.5220499683218673,1,3.7133776566016388,0.14774432929464484
26,1026,lasso_logistic,0.19649917524963317,0.14034847906974696,0.05615069617988622,0,5.078349818209734,0.2698516344659382
27,1027,xgboost,0.14204010101367154,0.13772491831433273,0.00431518269933881,1,2.015575762956297,2.0070620352137527
27,1027,lasso,0.662289356248083,0.13772491831433273,0.5245644379337503,1,4.463365785160195,0.9317638991566813
27,1027,lasso_logistic,0.19411256457348364,0.13772491831433273,0.05638764625915091,1,3.91721436066907,1.6710265319384956
28,1028,xgboost,0.14937373508822185,0.13580050205186023,0.013573233036361626,1,3.57633169517939,0.3187859095191635
28,1028,lasso,0.6649253919282742,0.13580050205186023,0.5291248898764139,0,3.657931795322145,0.16274361982247623
28,1028,lasso_logistic,0.19399307204861352,0.13580050205186023,0.05819256999675329,0,4.828676072634254,0.310424317058971
29,1029,xgboost,0.15123518689424492,0.1401353342849012,0.011099852609343736,1,4.223567246045056,0.33702643069687016
29,1029,lasso,0.6568985061496394,0.1401353342849012,0.5167631718647382,1,3.7480192036597866,0.1447853450900111
29,1029,lasso_logistic,0.18494789769588693,0.1401353342849012,0.044812563410985745,0,5.032878182002668,0.3404129460639844
30,1030,xgboost,0.14301101442399325,0.14684972360779058,-0.003838709183797334,1,6.47160211745293,2.348259765914938
30,1030,lasso,0.6600652517685635,0.14684972360779058,0.5132155281607729,0,6.246158734743643,0.8445134395853987
30,1030,lasso_logistic,0.19598150507698087,0.14684972360779058,0.04913178146919028,0,7.415487323090786,1.5936037208950145
31,1031,xgboost,0.14084033965585296,0.12801216337500693,0.012828176280846038,1,4.3756777218928935,0.3228647185715449
31,1031,lasso,0.6605274173080565,0.12801216337500693,0.5325152539330495,0,4.505497258384286,0.16420565243954346
31,1031,lasso_logistic,0.17495812051436982,0.12801216337500693,0.04694595713936289,0,6.110619069251545,0.3804058361548805
32,1032,xgboost,0.19606057538539226,0.17643429123623225,0.01962628414916001,1,4.032394990282713,0.1742200682918846
32,1032,lasso,0.6531693824649841,0.17643429123623225,0.4767350912287519,0,3.611611525010905,0.09183811476651091
32,1032,lasso_logistic,0.23437283085203592,0.17643429123623225,0.05793853961580367,1,4.282344944844147,0.2112385447613655
33,1033,xgboost,0.16490501971457508,0.16342883687147483,0.0014761828431002488,0,6.208561323941484,0.38894355081798
33,1033,lasso,0.6592704249789659,0.16342883687147483,0.4958415881074911,0,1.2280569511521402,0.4552626252183447
33,1033,lasso_logistic,0.2183856868491164,0.16342883687147483,0.05495684997764158,1,5.335976269995988,0.7673699480956581
34,1034,xgboost,0.14486327717724468,0.13547683227677437,0.009386444900470303,0,3.3446363488319153,0.25881230203230404
34,1034,lasso,0.6419642793291436,0.13547683227677437,0.5064874470523693,1,3.9154447652348217,0.13721718575302783
34,1034,lasso_logistic,0.20117578498523964,0.13547683227677437,0.06569895270846526,0,4.657260145024496,0.30555794028847844
35,1035,xgboost,0.17056498058553005,0.15436130950464869,0.01620367108088136,1,4.403059666135961,0.4422413105922385
35,1035,lasso,0.6654118192839205,0.15436130950464869,0.5110505097792718,0,3.42502459756494,0.24314570662126597
35,1035,lasso_logistic,0.20908265261359793,0.15436130950464869,0.054721343108949244,0,4.882024045562137,0.4059717996271692
36,1036,xgboost,0.13849726862283393,0.12131503743009865,0.01718223119273528,0,3.2093476588690826,0.3795841803689639
36,1036,lasso,0.6514057798706346,0.12131503743009865,0.530090742440536,0,2.5150900342920273,0.15294606497089946
36,1036,lasso_logistic,0.18305060891634534,0.12131503743009865,0.061735571486246685,1,3.9331063580622194,0.3600035057403989
37,1037,xgboost,0.12992325470204258,0.12410758223179381,0.0058156724702487644,0,3.1733983536311534,0.40216621018784193
37,1037,lasso,0.6530705891124177,0.12410758223179381,0.5289630068806238,0,3.708305828716516,0.14169901169131402
37,1037,lasso_logistic,0.17940918046162166,0.12410758223179381,0.055301598229827845,1,4.136475294268266,0.38520266762262106
38,1038,xgboost,0.16425450396511995,0.15276150714538556,0.011492996819734397,1,3.4655127776401518,0.4521127415303575
38,1038,lasso,0.6674871683711506,0.15276150714538556,0.5147256612257651,0,5.222108751464522,0.24059385818754264
38,1038,lasso_logistic,0.20606383500034953,0.15276150714538556,0.05330232785496397,1,4.478302284523003,0.4745847505324644
39,1039,xgboost,0.1563909569737305,0.14714378737526435,0.009247169598466165,1,3.88808698516827,0.2520558348749753
39,1039,lasso,0.674129011609326,0.14714378737526435,0.5269852242340617,1,4.00327384925429,0.12596348473050553
39,1039,lasso_logistic,0.1876169860156481,0.14714378737526435,0.04047319864038376,0,4.710778491622665,0.3208989568184855
40,1040,xgboost,0.11483571173467667,0.12196444489284826,-0.007128733158171585,1,3.747962397476931,0.24713353161452412
40,1040,lasso,0.6621689093558488,0.12196444489284826,0.5402044644630005,1,3.9073316958290905,0.11279969141410437
40,1040,lasso_logistic,0.16956766256017408,0.12196444489284826,0.04760321766732582,0,4.851592556934828,0.28641039063562995
41,1041,xgboost,0.1622276605642874,0.16527602992758783,-0.0030483693633004405,1,4.134526313261486,0.1835612491840121
41,1041,lasso,0.6459561424143727,0.16527602992758783,0.4806801124867849,0,3.488731730897135,0.13535196824566811
41,1041,lasso_logistic,0.2258995499356085,0.16527602992758783,0.06062352000802068,0,4.713633712110707,0.2291329517782269
42,1042,xgboost,0.13724737754341812,0.11466238335260946,0.022584994190808658,1,4.316551542015346,0.6598633689342722
